# step time[ps] z_front[A] vz[A/ps] speed[A/ps] penetration[A]
6000 1.5 243.735544720037 -10.0000000000001 10.0000000000001 -5.23554472003701
6050 1.51 243.635519301413 -10 10 -5.13551930141301
6100 1.52 243.535443096811 -10 10 -5.03544309681101
6150 1.53 243.435316260502 -10 10 -4.93531626050199
6200 1.54 243.335139050997 -10 10 -4.83513905099699
6250 1.55 243.234911832662 -9.99999999999999 9.99999999999999 -4.73491183266199
6300 1.56 243.134635077312 -10 10 -4.634635077312
6350 1.57 243.034309365641 -10 10 -4.53430936564101
6400 1.58 242.933935388808 -10 10 -4.43393538880801
6450 1.59 242.833513950957 -9.99999999999999 9.99999999999999 -4.33351395095701
6500 1.6 242.733045973681 -10 10 -4.23304597368099
6550 1.61 242.632532503295 -10 10 -4.13253250329501
6600 1.62 242.531974722203 -10 10 -4.03197472220299
6650 1.63 242.431373965983 -10 10 -3.931373965983
6700 1.64 242.330731744328 -10 10 -3.83073174432801
6750 1.65 242.230049761328 -10 10 -3.73004976132799
6800 1.66 242.129329932905 -10 10 -3.62932993290499
6850 1.67 242.028574401467 -10 10 -3.52857440146701
6900 1.68 241.927785553562 -10 10 -3.42778555356199
6950 1.69 241.826966047951 -10 10 -3.326966047951
7000 1.7 241.726118849379 -9.99999999999999 9.99999999999999 -3.22611884937899
7050 1.71 241.625247268094 -10 10 -3.125247268094
7100 1.72 241.524355018649 -10 10 -3.024355018649
7150 1.73 241.423446294607 -10 10 -2.923446294607
7200 1.74 241.32252582627 -9.99999999999999 9.99999999999999 -2.82252582627001
7250 1.75 241.22159889051 -10 10 -2.72159889050999
7300 1.76 241.120671303142 -9.99999999999999 9.99999999999999 -2.62067130314199
7350 1.77 241.019749456367 -10 10 -2.51974945636701
7400 1.78 240.918840396974 -10 10 -2.41884039697399
7450 1.79 240.817951934238 -10 10 -2.31795193423801
7500 1.8 240.717092787293 -10 10 -2.21709278729301
7550 1.81 240.616272783477 -10 10 -2.116272783477
7600 1.82 240.515503112791 -10 10 -2.01550311279101
7650 1.83 240.414796627699 -10 10 -1.91479662769899
7700 1.84 240.314168145816 -9.99999999999999 9.99999999999999 -1.81416814581601
7750 1.85 240.213634693427 -10 10 -1.713634693427
7800 1.86 240.113215696052 -10 10 -1.61321569605201
7850 1.87 240.012933120166 -10 10 -1.512933120166
7900 1.88 239.912451689597 -10 10 -1.41245168959699
7950 1.89 239.811608212252 -9.99999999999999 9.99999999999999 -1.311608212252
8000 1.9 239.710950157661 -10 10 -1.21095015766099
8050 1.91 239.610494352534 -10 10 -1.110494352534
8100 1.92 239.510258565401 -10 10 -1.01025856540099
8150 1.93 239.410260930021 -9.99999999999999 9.99999999999999 -0.910260930020996
8200 1.94 239.310519634981 -9.99999999999999 9.99999999999999 -0.810519634981006
8250 1.95 239.211052735696 -10 10 -0.711052735696001
8300 1.96 239.111877910493 -10 10 -0.611877910493007
