# Matrix Ti6Al4V (tanpa TiB) - Config 1   @rtoto@rkundato
# Generated  : 2026-03-06 17:10:46
# Seed       : 11184165
# Output mode: matrix_only
# Total atoms: 250,000
# Komposisi  : Ti (matrix)=219,941  Al (matrix)=21,257  V  (matrix)=8,802

250000 atoms
3 atom types

0.0 147.500000 xlo xhi
0.0 127.738747 ylo yhi
0.0 234.300000 zlo zhi

Masses

1 47.867  # Ti (matrix)
2 26.982  # Al (matrix)
3 50.942  # V  (matrix)

Atoms # atomic

1 1 0.000000 0.000000 0.000000
2 1 0.000000 0.000000 4.686000
3 2 0.000000 0.000000 9.372000
4 1 0.000000 0.000000 14.058000
5 2 0.000000 0.000000 18.744000
6 1 0.000000 0.000000 23.430000
7 1 0.000000 0.000000 28.116000
8 1 0.000000 0.000000 32.802000
9 1 0.000000 0.000000 37.488000
10 1 0.000000 0.000000 42.174000
11 1 0.000000 0.000000 46.860000
12 1 0.000000 0.000000 51.546000
13 1 0.000000 0.000000 56.232000
14 1 0.000000 0.000000 60.918000
15 1 0.000000 0.000000 65.604000
16 1 0.000000 0.000000 70.290000
17 1 0.000000 0.000000 74.976000
18 1 0.000000 0.000000 79.662000
19 1 0.000000 0.000000 84.348000
20 1 0.000000 0.000000 89.034000
21 1 0.000000 0.000000 93.720000
22 1 0.000000 0.000000 98.406000
23 1 0.000000 0.000000 103.092000
24 1 0.000000 0.000000 107.778000
25 2 0.000000 0.000000 112.464000
26 3 0.000000 0.000000 117.150000
27 1 0.000000 0.000000 121.836000
28 1 0.000000 0.000000 126.522000
29 1 0.000000 0.000000 131.208000
30 1 0.000000 0.000000 135.894000
31 1 0.000000 0.000000 140.580000
32 1 0.000000 0.000000 145.266000
33 1 0.000000 0.000000 149.952000
34 1 0.000000 0.000000 154.638000
35 1 0.000000 0.000000 159.324000
36 1 0.000000 0.000000 164.010000
37 1 0.000000 0.000000 168.696000
38 1 0.000000 0.000000 173.382000
39 1 0.000000 0.000000 178.068000
40 1 0.000000 0.000000 182.754000
41 1 0.000000 0.000000 187.440000
42 1 0.000000 0.000000 192.126000
43 1 0.000000 0.000000 196.812000
44 1 0.000000 0.000000 201.498000
45 1 0.000000 0.000000 206.184000
46 1 0.000000 0.000000 210.870000
47 1 0.000000 0.000000 215.556000
48 1 0.000000 0.000000 220.242000
49 1 0.000000 0.000000 224.928000
50 1 0.000000 0.000000 229.614000
51 1 0.000000 2.554775 0.000000
52 1 0.000000 2.554775 4.686000
53 1 0.000000 2.554775 9.372000
54 1 0.000000 2.554775 14.058000
55 2 0.000000 2.554775 18.744000
56 1 0.000000 2.554775 23.430000
57 1 0.000000 2.554775 28.116000
58 1 0.000000 2.554775 32.802000
59 1 0.000000 2.554775 37.488000
60 1 0.000000 2.554775 42.174000
61 1 0.000000 2.554775 46.860000
62 1 0.000000 2.554775 51.546000
63 1 0.000000 2.554775 56.232000
64 1 0.000000 2.554775 60.918000
65 1 0.000000 2.554775 65.604000
66 1 0.000000 2.554775 70.290000
67 1 0.000000 2.554775 74.976000
68 1 0.000000 2.554775 79.662000
69 1 0.000000 2.554775 84.348000
70 2 0.000000 2.554775 89.034000
71 1 0.000000 2.554775 93.720000
72 1 0.000000 2.554775 98.406000
73 1 0.000000 2.554775 103.092000
74 1 0.000000 2.554775 107.778000
75 1 0.000000 2.554775 112.464000
76 1 0.000000 2.554775 117.150000
77 1 0.000000 2.554775 121.836000
78 1 0.000000 2.554775 126.522000
79 1 0.000000 2.554775 131.208000
80 2 0.000000 2.554775 135.894000
81 1 0.000000 2.554775 140.580000
82 1 0.000000 2.554775 145.266000
83 1 0.000000 2.554775 149.952000
84 1 0.000000 2.554775 154.638000
85 1 0.000000 2.554775 159.324000
86 1 0.000000 2.554775 164.010000
87 1 0.000000 2.554775 168.696000
88 3 0.000000 2.554775 173.382000
89 1 0.000000 2.554775 178.068000
90 1 0.000000 2.554775 182.754000
91 1 0.000000 2.554775 187.440000
92 1 0.000000 2.554775 192.126000
93 1 0.000000 2.554775 196.812000
94 1 0.000000 2.554775 201.498000
95 1 0.000000 2.554775 206.184000
96 1 0.000000 2.554775 210.870000
97 1 0.000000 2.554775 215.556000
98 1 0.000000 2.554775 220.242000
99 1 0.000000 2.554775 224.928000
100 1 0.000000 2.554775 229.614000
101 1 0.000000 5.109550 0.000000
102 1 0.000000 5.109550 4.686000
103 1 0.000000 5.109550 9.372000
104 2 0.000000 5.109550 14.058000
105 1 0.000000 5.109550 18.744000
106 1 0.000000 5.109550 23.430000
107 1 0.000000 5.109550 28.116000
108 1 0.000000 5.109550 32.802000
109 1 0.000000 5.109550 37.488000
110 1 0.000000 5.109550 42.174000
111 1 0.000000 5.109550 46.860000
112 1 0.000000 5.109550 51.546000
113 1 0.000000 5.109550 56.232000
114 1 0.000000 5.109550 60.918000
115 1 0.000000 5.109550 65.604000
116 3 0.000000 5.109550 70.290000
117 1 0.000000 5.109550 74.976000
118 1 0.000000 5.109550 79.662000
119 1 0.000000 5.109550 84.348000
120 1 0.000000 5.109550 89.034000
121 1 0.000000 5.109550 93.720000
122 2 0.000000 5.109550 98.406000
123 1 0.000000 5.109550 103.092000
124 1 0.000000 5.109550 107.778000
125 1 0.000000 5.109550 112.464000
126 1 0.000000 5.109550 117.150000
127 1 0.000000 5.109550 121.836000
128 1 0.000000 5.109550 126.522000
129 1 0.000000 5.109550 131.208000
130 1 0.000000 5.109550 135.894000
131 1 0.000000 5.109550 140.580000
132 1 0.000000 5.109550 145.266000
133 1 0.000000 5.109550 149.952000
134 1 0.000000 5.109550 154.638000
135 1 0.000000 5.109550 159.324000
136 1 0.000000 5.109550 164.010000
137 1 0.000000 5.109550 168.696000
138 1 0.000000 5.109550 173.382000
139 1 0.000000 5.109550 178.068000
140 1 0.000000 5.109550 182.754000
141 1 0.000000 5.109550 187.440000
142 1 0.000000 5.109550 192.126000
143 1 0.000000 5.109550 196.812000
144 1 0.000000 5.109550 201.498000
145 1 0.000000 5.109550 206.184000
146 1 0.000000 5.109550 210.870000
147 2 0.000000 5.109550 215.556000
148 1 0.000000 5.109550 220.242000
149 1 0.000000 5.109550 224.928000
150 1 0.000000 5.109550 229.614000
151 1 0.000000 7.664325 0.000000
152 1 0.000000 7.664325 4.686000
153 1 0.000000 7.664325 9.372000
154 1 0.000000 7.664325 14.058000
155 1 0.000000 7.664325 18.744000
156 3 0.000000 7.664325 23.430000
157 1 0.000000 7.664325 28.116000
158 2 0.000000 7.664325 32.802000
159 1 0.000000 7.664325 37.488000
160 1 0.000000 7.664325 42.174000
161 1 0.000000 7.664325 46.860000
162 1 0.000000 7.664325 51.546000
163 1 0.000000 7.664325 56.232000
164 1 0.000000 7.664325 60.918000
165 1 0.000000 7.664325 65.604000
166 1 0.000000 7.664325 70.290000
167 1 0.000000 7.664325 74.976000
168 1 0.000000 7.664325 79.662000
169 1 0.000000 7.664325 84.348000
170 1 0.000000 7.664325 89.034000
171 1 0.000000 7.664325 93.720000
172 1 0.000000 7.664325 98.406000
173 1 0.000000 7.664325 103.092000
174 1 0.000000 7.664325 107.778000
175 1 0.000000 7.664325 112.464000
176 1 0.000000 7.664325 117.150000
177 1 0.000000 7.664325 121.836000
178 1 0.000000 7.664325 126.522000
179 1 0.000000 7.664325 131.208000
180 2 0.000000 7.664325 135.894000
181 1 0.000000 7.664325 140.580000
182 1 0.000000 7.664325 145.266000
183 1 0.000000 7.664325 149.952000
184 2 0.000000 7.664325 154.638000
185 1 0.000000 7.664325 159.324000
186 1 0.000000 7.664325 164.010000
187 1 0.000000 7.664325 168.696000
188 1 0.000000 7.664325 173.382000
189 1 0.000000 7.664325 178.068000
190 2 0.000000 7.664325 182.754000
191 1 0.000000 7.664325 187.440000
192 1 0.000000 7.664325 192.126000
193 1 0.000000 7.664325 196.812000
194 1 0.000000 7.664325 201.498000
195 1 0.000000 7.664325 206.184000
196 1 0.000000 7.664325 210.870000
197 1 0.000000 7.664325 215.556000
198 1 0.000000 7.664325 220.242000
199 1 0.000000 7.664325 224.928000
200 1 0.000000 7.664325 229.614000
201 1 0.000000 10.219100 0.000000
202 1 0.000000 10.219100 4.686000
203 1 0.000000 10.219100 9.372000
204 1 0.000000 10.219100 14.058000
205 1 0.000000 10.219100 18.744000
206 2 0.000000 10.219100 23.430000
207 1 0.000000 10.219100 28.116000
208 2 0.000000 10.219100 32.802000
209 1 0.000000 10.219100 37.488000
210 1 0.000000 10.219100 42.174000
211 1 0.000000 10.219100 46.860000
212 1 0.000000 10.219100 51.546000
213 1 0.000000 10.219100 56.232000
214 1 0.000000 10.219100 60.918000
215 1 0.000000 10.219100 65.604000
216 1 0.000000 10.219100 70.290000
217 2 0.000000 10.219100 74.976000
218 1 0.000000 10.219100 79.662000
219 1 0.000000 10.219100 84.348000
220 1 0.000000 10.219100 89.034000
221 1 0.000000 10.219100 93.720000
222 1 0.000000 10.219100 98.406000
223 2 0.000000 10.219100 103.092000
224 2 0.000000 10.219100 107.778000
225 1 0.000000 10.219100 112.464000
226 1 0.000000 10.219100 117.150000
227 1 0.000000 10.219100 121.836000
228 1 0.000000 10.219100 126.522000
229 1 0.000000 10.219100 131.208000
230 1 0.000000 10.219100 135.894000
231 1 0.000000 10.219100 140.580000
232 1 0.000000 10.219100 145.266000
233 2 0.000000 10.219100 149.952000
234 1 0.000000 10.219100 154.638000
235 1 0.000000 10.219100 159.324000
236 2 0.000000 10.219100 164.010000
237 1 0.000000 10.219100 168.696000
238 1 0.000000 10.219100 173.382000
239 1 0.000000 10.219100 178.068000
240 2 0.000000 10.219100 182.754000
241 1 0.000000 10.219100 187.440000
242 1 0.000000 10.219100 192.126000
243 1 0.000000 10.219100 196.812000
